u 的
f 一
o 是
c 不
r 了
n 在
t 我
j 人
je 他
vu 这
nv 有
jg 个
m 大
yf 上
d 中
a 来
ge 地
x 和
s 说
i 为
ja 们
y 到
jx 你
g 就
e 也
vj 以
vj 己
rn 国
rni 国
au 那
v 要
ok 时
sm 出
gq 着
z 可
h 道
ri 之
rk 对
rk 囗
jb 会
oi 自
l 而
w 得
fy 下
k 能
ku 过
ku 毌
ku 毋
ls 生
ls 卅
ls 丗
hi 子
hi 夂
hi 夊
fn 于
ev 年
xf 后
sr 发
sri 发
q 都
dl 里
kr 没
cu 还
mt 所
gk 去
uq 看
fd 事
b 如
ty 用
yx 小
jw 作
ll 多
p 行
dh 只
bh 好
na 成
wj 家
fm 天
be 她
lf 方
vm 然
vm 毛
vmc 然
yb 当
yb 卜
hx 心
hx 忄
hx 㣺
pv 起
xd 种
xdg 种
eqh 想
ir 经
ne 现
jo 但
kg 法
kgk 法
du 无
du 旡
du 兂
mf 同
mfd 同
tk 么
qu 进
kw 学
bm 面
bm 卯
bm 靣
bm 丣
bm 戼
zh 其
zh 虍
zh 虎
hv 前
vi 已
in 主
jj 从
bs 动
bs 氏
hp 分
hp 攵
hp 攴
umb 把
umb 皅
fl 开
wyc 军
wyc 軍
ry 又
ml 两
ml 兩
ml 両
ml 㒳
ef 本
rm 因
wt 定
wt 兎
wt 兔
id 部
id 乀
id 丶
idt 部
fa 与
alk 将
or 日
or 曰
pc 长
pc 長
pc 镸
ndl 理
ts 三
ts 疋
svm 些
svm 䚽
ww 实
wwm 实
egy 样
ns 十
xh 意
xh 禾
od 知
sv 此
rt 第
sl 力
wi 很
fsi 正
fsi 祉
gg 高
gg 髙
us 手
us 龵
us 扌
jns 什
jns 仐
zs 身
zs 㐆
tr 被
wv 它
wv 鱼
wv 魚
ov 明
ql 老
ql 耂
qo 者
hk 公
ej 见
ej 見
eo 机
tm 向
adk 问
adk 問
oq 最
oqr 最
jf 使
jfd 使
jn 全
yd 点
ydc 点
ha 情
lyb 外
dm 民
dm 黾
dm 黽
dm 㫣
hl 并
ydp 战
hmd 关
hmd 忕
ug 工
rd 回
rg 等
rgk 等
eqm 相
eqm 窅
me 二
ldl 重
ldl 荲
dy 由
dy 甴
wm 头
gc 声
hls 性
xk 应
xkf 应
ao 间
sa 话
vw 文
ij 给
ij 丩
ijd 给
ijd 紏
ijd 䇆
gm 美
cy 业
qne 物
nq 真
jef 体
pdf 或
fsh 政
oj 几
mj 内
xp 利
ua 打
pz 走
pz 赱
ie 新
iet 新
ji 位
ji 亼
ji 亽
vx 西
vx 覀
vx 襾
fmg 再
fmg 䯑
ixc 产
sd 加
vy 月
vy 円
vy 冃
gkz 却
qp 先
qrp 制
qg 特
qgk 特
qem 果
ryx 东
ryx 𫠣
fog 神
pe 儿
nt 才
am 门
am 皿
am 門
mi 太
mi 豸
jdk 合
jdk 㐰
jdk 㪳
js 信
js 豕
ati 表
xu 原
xu 乌
xu 烏
bn 女
fo 更
fob 更
vjj 己
ld 名
il 立
vv 比
jp 代
ys 四
ys 罒
ys 䍏
zht 斯
jt 任
we 次
la 世
jfo 便
dtj 听
uo 提
uot 提
jc 做
kek 海
ks 水
ks 氵
ks 厶
ks 氺
ks 龴
qhh 教
qi 眼
jvb 化
kt 通
ktu 通
nf 感
nf 甫
nw 王
sg 各
dk 口
dk 〇
vq 气
ds 别
dsp 别
yt 少
hy 处
eh 平
srj 常
xt 解
jz 何
uib 接
qm 目
xr 反
zc 变
zcr 变
rtm 笑
hd 总
hdh 总
ju 入
sj 认
sj 曱
sj 甲
he 条
wb 安
wb 冫
zj 金
zj 钅
zj 釒
zj 卩
zj 卪
zj 㔾
cj 及
xlr 度
syf 让
vs 山
vs 巳
nm 马
nm 馬
ywr 受
ka 活
igd 结
pb 数
pbh 数
nqf 直
ht 必
ub 白
uv 指
uvo 指
bp 张
uz 报
sjl 论
sjl 論
do 员
ib 义
lh 放
oa 电
yi 至
wu 五
tis 系
rui 难
rui 帷
jdz 命
bu 建
xyx 尔
jq 件
gv 死
jde 保
wmp 完
se 许
sen 许
ot 题
otw 题
ga 场
eu 空
sn 计
wh 怎
mg 光
rwk 管
rf 非
wn 德
wny 德
bd 强
ofd 量
wnj 决
fle 形
jwx 像
zhv 期
weo 资
tjr 队
kav 清
hs 务
dr 嗯
ibp 统
aa 书
aag 书
aag 瘣
zr 市
afd 司
pf 师
pfr 师
jin 住
iz 即
cp 克
lw 带
lwr 带
cf 飞
cf 飛
nmg 南
nmg 珖
nmg 駫
nb 区
ehi 李
ehi 觃
ehi 杍
ehi 覎
op 则
kwe 觉
ab 交
ab 疒
fg 社
fg 骨
fg 冎
jae 今
jae 㪲
zhg 基
zhg 鋊
av 北
cl 展
clt 展
jm 传
jma 传
yu 连
di 叫
kk 治
kkd 治
psg 路
psg 㦴
psg 䞦
psg 䶅
fp 万
qd 告
xj 科
dcv 呢
qh 思
mu 达
svj 记
svj 記
ym 转
yma 转
fv 望
fvn 望
fvn 礽
su 边
hn 快
hnj 快
obi 风
xm 色
sk 该
qjp 界
wx 象
er 权
ui 拉
ui 隹
srs 设
srs 設
srs 㲂
fq 且
qr 取
eg 干
ih 收
ssi 步
ssi 歨
ssi 訨
jkw 领
ee 林
ei 根
win 往
iem 亲
iem 㭧
iem 䊾
ec 极
fk 求
aw 未
ek 每
xdn 程
pug 式
pug 䉺
thb 兵
thb 乊
uc 据
uc 辶
uc 辵
ucc 据
pmd 类
sy 言
sy 讠
sy 訁
hej 规
hej 規
hej 悓
dmb 吧
dmb 邑
ddd 品
mx 确
mxt 确
rej 观
rej 笕
rej 筧
rej 覌
gna 城
dc 虽
th 失
es 格
es 彡
mp 远
mpu 远
mpu 㹱
sh 办
mpe 元
buc 运
buc 䢖
jks 令
jks 汆
jks 氽
jks 仏
jks 㲻
lhb 共
lhb 䒔
jvj 似
wui 准
wui 隺
wui 寉
wui 䱦
sav 请
fps 武
gs 士
gs 亅
gs 丨
vh 改
lm 英
eid 术
eid 朮
yc 车
yc 車
ms 石
kwh 深
qhm 联
xb 争
dn 吗
tw 院
twm 院
yr 轻
yru 轻
ch 火
ch 灬
yl 罗
fu 百
hf 夫
zb 离
lj 花
ljv 花
tu 近
rpd 切
rpd 剕
rpd 㓟
rpd 䇖
sdh 识
qdu 造
if 组
kb 流
kbo 流
rql 算
rql 䇭
nrj 布
nrj 匝
vk 导
vk 㐄
on 早
up 找
jgn 候
kl 满
klm 满
vz 服
wk 官
xhf 整
xhf 䄮
yw 爱
ywn 爱
whi 字
whi 䰵
ugk 持
pig 跟
emq 突
emq 枤
og 影
kyv 消
tn 随
de 吃
dea 吃
im 商
sf 证
sfs 证
hq 单
sib 议
pn 越
ng 存
ng 鬲
ngh 存
um 击
pa 精
pav 精
kqq 济
kqq 濟
kqq 済
bkd 始
kd 台
ph 黑
ph 黒
smg 调
tle 需
tle 陑
tle 袻
ci 支
bem 杀
rnt 团
usl 功
usl 劧
usl 劰
usl 扐
qhb 具
jvn 华
jvn 仍
vjk 脸
xjk 府
ue 集
mgd 周
avy 青
avy 閒
avy 靑
avy 䑚
iug 红
iug 舡
iug 紅
rr 双
kj 九
hb 八
hb 丷
hb 癶
hb 䒑
ap 片
ap 丬
ap 爿
hu 半
hu 壴
whg 容
hr 曾
dt 啊
dtz 啊
tz 阿
lk 落
lks 落
ocy 显
tjx 除
ciw 尽
spe 党
opd 照
opd 则
opd 則
opd 旫
jjj 众
hqt 备
eoh 复
try 陈
pat 断
jjp 价
ini 约
wf 写
wfa 写
nvs 包
icj 级
icj 級
icj 䑥
dsl 另
dsl 叻
afm 病
xno 质
xxy 称
xxy 䅧
xxy 䪭
jy 倒
jyp 倒
kug 江
ixm 绝
ah 敌
nh 黄
nh 黃
uci 技
al 六
al 耒
no 朝
kx 派
kxt 派
ifp 线
iyd 站
ekj 究
ekj 朹
agti 装
agti 裝
fcy 亚
fcy 亞
fcy 亜
ho 首
mbp 刚
fs 示
fs 礻
fe 视
wd 况
wdp 况
ghr 增
sc 谈
sc 屮
sc 䶹
scc 谈
hgy 惊
cg 古
db 史
sui 谁
sui 雒
sui 誰
sui 䧳
bgs 引
bgs 弔
ew 须
rq 七
ohx 息
mfl 研
tfs 际
tfs 龒
dd 器
one 易
bq 留
uu 推
jjg 坐
mlf 房
xg 广
ki 注
ki 㠯
kin 注
eof 查
sw 语
swd 语
jah 念
lnd 若
